DateOfMatch,Con1,Con2,Con3,Con4,Con5,Con6,Con7,Con8,Con9,Con10,MatchesID,ConID
24/02/2018,Faf de Klerk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1455,4590
03/03/2018,Faf de Klerk,Faf de Klerk,Faf de Klerk,Faf de Klerk,NULL,NULL,NULL,NULL,NULL,NULL,1456,4591
24/03/2018,Faf de Klerk,AJ MacGinty,AJ MacGinty,AJ MacGinty,AJ MacGinty,AJ MacGinty,NULL,NULL,NULL,NULL,1457,4592
06/04/2018,AJ MacGinty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1458,4593
13/04/2018,AJ MacGinty,AJ MacGinty,AJ MacGinty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1459,4594
28/04/2018,AJ MacGinty,AJ MacGinty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1460,4595
05/05/2018,AJ MacGinty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1461,4596
13/10/2017,Faf de Klerk,Faf de Klerk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1043,4597
20/10/2017,Faf de Klerk,Faf de Klerk,Faf de Klerk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1098,4598
03/11/2017,AJ MacGinty,AJ MacGinty,AJ MacGinty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1099,4599
10/11/2017,AJ MacGinty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1044,4600
09/12/2017,AJ MacGinty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1045,4601
17/12/2017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1100,4602
13/01/2018,Will Cliff,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1449,4603
20/01/2018,Will Addison,Will Addison,Will Addison,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1450,4604
27/01/2018,Faf de Klerk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1451,4605
02/02/2018,Will Cliff,Will Cliff,Will Cliff,Will Cliff,Cameron Redpath,NULL,NULL,NULL,NULL,NULL,1452,4606
17/10/2015,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1104,4607
23/10/2015,Danny Cipriani,Danny Cipriani,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1105,4608
01/11/2015,Danny Cipriani,Danny Cipriani,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1106,4609
06/11/2015,Danny Cipriani,Danny Cipriani,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1107,4610
22/12/2018,Rob du Preez,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1046,4611
12/01/2019,Faf de Klerk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1051,4612
29/12/2018,Rob du Preez,Rob du Preez,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1047,4613
04/01/2019,Rob du Preez,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1048,4614
19/01/2019,Faf de Klerk,Faf de Klerk,Faf de Klerk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1052,4615
16/02/2019,AJ MacGinty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1053,4616
03/02/2019,Will Cliff,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1050,4617
23/02/2019,Faf de Klerk,Faf de Klerk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1054,4618
08/03/2019,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1056,4619
02/03/2019,Faf de Klerk,Sam James,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1055,4620
23/03/2019,Faf de Klerk,Faf de Klerk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1057,4621
29/03/2019,AJ MacGinty,AJ MacGinty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1049,4622
05/04/2019,AJ MacGinty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1058,4623
13/04/2019,AJ MacGinty,AJ MacGinty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1060,4624
20/04/2019,AJ MacGinty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1103,4625
26/04/2019,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1059,4626
03/05/2019,AJ MacGinty,AJ MacGinty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1101,4627
18/05/2019,AJ MacGinty,AJ MacGinty,AJ MacGinty,AJ MacGinty,NULL,NULL,NULL,NULL,NULL,NULL,1102,4628
15/11/2015,Nick Macleod,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1108,4629
21/11/2015,Joe Ford,Joe Ford,Joe Ford,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1109,4630
28/11/2015,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1110,4631
04/12/2015,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1111,4632
12/12/2015,Joe Ford,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1112,4633
19/12/2015,Joe Ford,Danny Cipriani,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1113,4634
26/12/2015,Danny Cipriani,Danny Cipriani,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1114,4635
02/01/2016,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1115,4636
15/01/2016,Danny Cipriani,Danny Cipriani,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1116,4637
21/01/2016,Danny Cipriani,Danny Cipriani,Danny Cipriani,Danny Cipriani,Joe Ford,NULL,NULL,NULL,NULL,NULL,1118,4638
30/01/2016,Danny Cipriani,Danny Cipriani,Danny Cipriani,Joe Ford,NULL,NULL,NULL,NULL,NULL,NULL,1117,4639
06/02/2016,Danny Cipriani,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1119,4640
13/02/2016,Danny Cipriani,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1120,4641
20/02/2016,Danny Cipriani,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1121,4642
27/02/2016,Danny Cipriani,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1122,4643
05/03/2016,Joe Ford,Danny Cipriani,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1123,4644
12/03/2016,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1124,4645
20/03/2016,Danny Cipriani,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1125,4646
27/03/2016,Danny Cipriani,Danny Cipriani,Danny Cipriani,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1126,4647
17/04/2016,Danny Cipriani,Danny Cipriani,Danny Cipriani,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1129,4648
23/04/2016,Danny Cipriani,Danny Cipriani,Joe Ford,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1130,4649
29/04/2016,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1131,4650
07/05/2016,Danny Cipriani,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1132,4651
06/09/2014,Danny Cipriani,Danny Cipriani,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1133,4652
13/09/2014,Danny Cipriani,Danny Cipriani,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1154,4653
21/09/2019,Rob du Preez,Rob du Preez,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1134,4654
28/09/2019,Tom Curtis,Tom Curtis,James Williams,James Williams,NULL,NULL,NULL,NULL,NULL,NULL,1135,4655
05/10/2019,Rob du Preez,Rob du Preez,Rob du Preez,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1136,4656
12/10/2019,Rob du Preez,Rob du Preez,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1137,4657
19/10/2019,Rob du Preez,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1138,4658
01/11/2019,AJ MacGinty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1139,4659
08/11/2019,Rob du Preez,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1140,4660
05/10/2014,Danny Cipriani,Danny Cipriani,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1143,4661
20/09/2014,Danny Cipriani,Danny Cipriani,Danny Cipriani,Joe Ford,Joe Ford,NULL,NULL,NULL,NULL,NULL,1141,4662
27/09/2014,Danny Cipriani,Joe Ford,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1142,4663
11/10/2014,Joe Ford,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1144,4664
18/10/2014,Danny Cipriani,Danny Cipriani,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1443,4665
26/10/2014,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1155,4666
01/11/2014,Joe Ford,Joe Ford,Nick Macleod,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1145,4667
16/09/2005,Charlie Hodgson,Charlie Hodgson,Charlie Hodgson,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1473,4668
25/09/2005,Charlie Hodgson,Charlie Hodgson,Charlie Hodgson,Charlie Hodgson,NULL,NULL,NULL,NULL,NULL,NULL,1474,4669
14/10/2005,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1475,4670
05/11/2005,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1476,4671
11/11/2005,Valentin Courrent,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1477,4672
18/11/2005,Valentin Courrent,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1478,4673
27/11/2005,Valentin Courrent,Valentin Courrent,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1479,4674
26/12/2005,Charlie Hodgson,Charlie Hodgson,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1480,4675
02/01/2006,Charlie Hodgson,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1481,4676
08/01/2006,Charlie Hodgson,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1484,4677
28/01/2006,Charlie Hodgson,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1486,4679
11/02/2006,Valentin Courrent,Valentin Courrent,Valentin Courrent,Valentin Courrent,Valentin Courrent,Valentin Courrent,NULL,NULL,NULL,NULL,1487,4680
17/02/2006,Charlie Hodgson,Charlie Hodgson,Charlie Hodgson,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1488,4681
26/02/2006,Richard Wigglesworth,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1489,4682
10/03/2006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1490,4683
25/03/2006,Charlie Hodgson,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1491,4684
08/04/2006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1492,4685
16/04/2006,Valentin Courrent,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1493,4686
28/04/2006,Charlie Hodgson,Charlie Hodgson,Charlie Hodgson,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1494,4687
06/05/2006,Valentin Courrent,Valentin Courrent,Charlie Hodgson,Charlie Hodgson,NULL,NULL,NULL,NULL,NULL,NULL,1495,4688
09/11/2014,Nick Macleod,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1146,4689
15/11/2014,Danny Cipriani,Danny Cipriani,Danny Cipriani,Nick Macleod,NULL,NULL,NULL,NULL,NULL,NULL,1147,4690
21/11/2014,Danny Cipriani,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1148,4691
30/11/2014,Danny Cipriani,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1149,4692
13/12/2014,Joe Ford,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1151,4693
06/12/2014,Danny Cipriani,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1150,4694
19/12/2014,Danny Cipriani,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1152,4695
27/12/2014,Danny Cipriani,Danny Cipriani,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1153,4696
04/01/2015,Joe Ford,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1444,4697
10/01/2015,Danny Cipriani,Danny Cipriani,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1445,4698
16/11/2019,AJ MacGinty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1156,4699
24/11/2019,AJ MacGinty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1466,4700
30/11/2019,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1157,4701
08/12/2019,Rob du Preez,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1158,4702
15/12/2019,AJ MacGinty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1159,4703
21/12/2019,Rob du Preez,Rob du Preez,Rob du Preez,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1467,4704
28/12/2019,Rob du Preez,Rob du Preez,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1160,4705
03/01/2020,Rob du Preez,Rob du Preez,Rob du Preez,Rob du Preez,AJ MacGinty,AJ MacGinty,NULL,NULL,NULL,NULL,1161,4706
10/01/2020,AJ MacGinty,James Williams,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1162,4707
18/01/2020,Tom Curtis,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1163,4708
25/01/2020,Rob du Preez,Rob du Preez,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1164,4709
07/02/2020,Rob du Preez,Rob du Preez,Rob du Preez,Rob du Preez,NULL,NULL,NULL,NULL,NULL,NULL,1165,4710
21/02/2020,Rob du Preez,Rob du Preez,Rob du Preez,Rob du Preez,NULL,NULL,NULL,NULL,NULL,NULL,1166,4711
22/11/2009,Charlie Hodgson,Charlie Hodgson,Charlie Hodgson,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1167,4712
05/12/2009,Charlie Hodgson,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1168,4713
02/10/2009,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1171,4714
04/09/2009,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1172,4715
13/09/2009,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1174,4716
18/09/2009,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1173,4717
26/09/2009,Richard Wigglesworth,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1175,4718
14/02/2010,Charlie Hodgson,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1176,4719
19/02/2010,Charlie Hodgson,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1177,4720
27/02/2010,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1178,4721
07/03/2010,Charlie Hodgson,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1179,4722
19/03/2010,Charlie Hodgson,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1180,4723
28/03/2010,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1181,4724
02/04/2010,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1182,4725
17/04/2010,Richard Wigglesworth,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1183,4726
